Reporter,Partner,Flow,Value,Unit,FlowYear,FlowSourceUrl,FlowSource,FlowSourceRate,Balance,ReporterIso,PartnerIso,BalanceSourceUrl,BalanceSource,GDP,flowRank
Afghanistan,Pakistan,Export,227,current USD (millions),2015,http://wits.worldbank.org/CountrySnapshot/en/AFG,World Integrated Trade Solution,,827,AFG,PAK,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,19331,1
Afghanistan,India,Export,189,current USD (millions),2015,http://wits.worldbank.org/CountrySnapshot/en/AFG,World Integrated Trade Solution,,827,AFG,IND,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,19331,2
Afghanistan,Iran,Export,29,current USD (millions),2015,http://wits.worldbank.org/CountrySnapshot/en/AFG,World Integrated Trade Solution,,827,AFG,IRN,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,19331,3
Afghanistan,United Arab Emirates,Export,24,current USD (millions),2015,http://wits.worldbank.org/CountrySnapshot/en/AFG,World Integrated Trade Solution,,827,AFG,ARE,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,19331,4
Afghanistan,Russia,Export,19,current USD (millions),2015,http://wits.worldbank.org/CountrySnapshot/en/AFG,World Integrated Trade Solution,,827,AFG,RUS,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,19331,5
Afghanistan,Iran,Import,"1,808",current USD (millions),2015,http://wits.worldbank.org/CountrySnapshot/en/AFG,World Integrated Trade Solution,,827,AFG,IRN,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,19331,1
Afghanistan,Pakistan,Import,"1,346",current USD (millions),2015,http://wits.worldbank.org/CountrySnapshot/en/AFG,World Integrated Trade Solution,,827,AFG,PAK,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,19331,2
Afghanistan,China,Import,"1,044",current USD (millions),2015,http://wits.worldbank.org/CountrySnapshot/en/AFG,World Integrated Trade Solution,,827,AFG,CHN,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,19331,3
Afghanistan,Turkmenistan,Import,632,current USD (millions),2015,http://wits.worldbank.org/CountrySnapshot/en/AFG,World Integrated Trade Solution,,827,AFG,TKM,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,19331,4
Afghanistan,Kazakhstan,Import,427,current USD (millions),2015,http://wits.worldbank.org/CountrySnapshot/en/AFG,World Integrated Trade Solution,,827,AFG,KAZ,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,19331,5
Albania,Italy,Export,982,current USD (millions),2015,http://wits.worldbank.org/CountrySnapshot/en/alb,World Integrated Trade Solution,,-1612,ALB,ITA,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,11398,1
Albania,Serbia,Export,191,current USD (millions),2015,http://wits.worldbank.org/CountrySnapshot/en/alb,World Integrated Trade Solution,,-1612,ALB,SRB,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,11398,2
Albania,Spain,Export,100,current USD (millions),2015,http://wits.worldbank.org/CountrySnapshot/en/alb,World Integrated Trade Solution,,-1612,ALB,ESP,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,11398,3
Albania,Malta,Export,89,current USD (millions),2015,http://wits.worldbank.org/CountrySnapshot/en/alb,World Integrated Trade Solution,,-1612,ALB,MLT,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,11398,4
Albania,Greece,Export,75,current USD (millions),2015,http://wits.worldbank.org/CountrySnapshot/en/alb,World Integrated Trade Solution,,-1612,ALB,GRC,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,11398,5
Albania,Italy,Import,"1,309",current USD (millions),2015,http://wits.worldbank.org/CountrySnapshot/en/alb,World Integrated Trade Solution,,-1612,ALB,ITA,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,11398,1
Albania,China,Import,369,current USD (millions),2015,http://wits.worldbank.org/CountrySnapshot/en/alb,World Integrated Trade Solution,,-1612,ALB,CHN,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,11398,2
Albania,Turkey,Import,347,current USD (millions),2015,http://wits.worldbank.org/CountrySnapshot/en/alb,World Integrated Trade Solution,,-1612,ALB,TUR,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,11398,3
Albania,Greece,Import,339,current USD (millions),2015,http://wits.worldbank.org/CountrySnapshot/en/alb,World Integrated Trade Solution,,-1612,ALB,GRC,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,11398,4
Albania,Germany,Import,288,current USD (millions),2015,http://wits.worldbank.org/CountrySnapshot/en/alb,World Integrated Trade Solution,,-1612,ALB,DEU,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,11398,5
Algeria,Spain,Export,"6,164",current USD (millions),2015,http://wits.worldbank.org/Countrysnapshot/en/DZA,World Integrated Trade Solution,,-25340,DZA,ESP,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,166839,1
Algeria,Italy,Export,"5,264",current USD (millions),2015,http://wits.worldbank.org/Countrysnapshot/en/DZA,World Integrated Trade Solution,,-25340,DZA,ITA,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,166839,2
Algeria,France,Export,"4,578",current USD (millions),2015,http://wits.worldbank.org/Countrysnapshot/en/DZA,World Integrated Trade Solution,,-25340,DZA,FRA,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,166839,3
Algeria,United Kingdom,Export,"2,430",current USD (millions),2015,http://wits.worldbank.org/Countrysnapshot/en/DZA,World Integrated Trade Solution,,-25340,DZA,GBR,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,166839,4
Algeria,United States,Export,"2,211",current USD (millions),2015,http://wits.worldbank.org/Countrysnapshot/en/DZA,World Integrated Trade Solution,,-25340,DZA,USA,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,166839,5
Algeria,China,Import,"8,260",current USD (millions),2015,http://wits.worldbank.org/Countrysnapshot/en/DZA,World Integrated Trade Solution,,-25340,DZA,CHN,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,166839,1
Algeria,France,Import,"5,439",current USD (millions),2015,http://wits.worldbank.org/Countrysnapshot/en/DZA,World Integrated Trade Solution,,-25340,DZA,FRA,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,166839,2
Algeria,Italy,Import,"4,860",current USD (millions),2015,http://wits.worldbank.org/Countrysnapshot/en/DZA,World Integrated Trade Solution,,-25340,DZA,ITA,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,166839,3
