name,balanceFull,balanceMils,iso
Afghanistan,827000000,827,AFG
Albania,-1612000000,-1612,ALB
Algeria,-25340000000,-25340,DZA
Angola,-4929000000,-4929,AGO
Anguilla,-50100000,-50.1,AIA
Antigua and Barbuda,-122000000,-122,ATG
Argentina,-12720000000,-12720,ARG
Armenia,-267000000,-267,ARM
Australia,-43850000000,-43850,AUS
Austria,10190000000,10190,AUT
Azerbaijan,264000000,264,AZE
Bahamas,-1029000000,-1029,BHS
Bahrain,-1499000000,-1499,BHR
Bangladesh,-131000000,-131,BGD
Barbados,-238000000,-238,BRB
Belarus,-2379000000,-2379,BLR
Belgium,585000000,585,BEL
Belize,-220000000,-220,BLZ
Benin,-892000000,-892,BEN
Bhutan,-579000000,-579,BTN
Bolivia,-2340000000,-2340,BOL
Bosnia and Herzegovina,-847000000,-847,BIH
Botswana,447000000,447,BWA
Brazil,-14110000000,-14110,BRA
Brunei,452000000,452,BRN
Bulgaria,400000000,400,BGR
Burkina Faso,-723000000,-723,BFA
Burundi,-127000000,-127,BDI
Cabo Verde,-130000000,-130,CPV
Cambodia,-1969000000,-1969,KHM
Cameroon,-1297000000,-1297,CMR
Canada,-56730000000,-56730,CAN
Central African Republic,-178000000,-178,CAF
Chad,-907000000,-907,TCD
Chile,-4550000000,-4550,CHL
China,2.709E+11,270900,CHN
Colombia,-14310000000,-14310,COL
Comoros,-56000000,-56,COM
"Congo, Democratic Republic of the",-308000000,-308,COD
"Congo, Republic of the",-728000000,-728,COG
Cook Islands,26670000,26.67,COK
Costa Rica,-2570000000,-2570,CRI
Cote d'Ivoire,-609000000,-609,CIV
Croatia,1514000000,1514,HRV
Cuba,-145700000,-145.7,CUB
Cyprus,-184000000,-184,CYP
Czech Republic,2976000000,2976,CZE
Denmark,20340000000,20340,DNK
Djibouti,-325000000,-325,DJI
Dominica,-69000000,-69,DMA
Dominican Republic,-1709000000,-1709,DOM
Ecuador,-1470000000,-1470,ECU
Egypt,-12180000000,-12180,EGY
El Salvador,-549000000,-549,SLV
Equatorial Guinea,-1368000000,-1368,GNQ
Eritrea,10000000,10,ERI
Estonia,136000000,136,EST
Ethiopia,-7427000000,-7427,ETH
Fiji,-329000000,-329,FJI
Finland,199000000,199,FIN
France,-11520000000,-11520,FRA
Gabon,-767000000,-767,GAB
Gambia,-112000000,-112,GMB
Georgia,-1750000000,-1750,GEO
Germany,3.014E+11,301400,DEU
Ghana,-2693000000,-2693,GHA
Greece,-70000000,-70,GRC
Grenada,-130000000,-130,GRD
Guatemala,-323000000,-323,GTM
Guinea,-893000000,-893,GIN
Guinea-Bissau,-20000000,-20,GNB
Guyana,72000000,72,GUY
Haiti,35000000,35,HTI
Honduras,-1197000000,-1197,HND
Hong Kong,8895000000,8895,HKG
Hungary,5720000000,5720,HUN
Iceland,567000000,567,ISL
India,-31970000000,-31970,IND
Indonesia,-21280000000,-21280,IDN
Iran,17200000000,17200,IRN
Iraq,-16870000000,-16870,IRQ
Ireland,29110000000,29110,IRL
Israel,9541000000,9541,ISR
Italy,40230000000,40230,ITA
Jamaica,-456000000,-456,JAM
Japan,1.761E+11,176100,JPN
Jordan,-3566000000,-3566,JOR
Kazakhstan,-2785000000,-2785,KAZ
Kenya,-4444000000,-4444,KEN
Kiribati,-12000000,-12,KIR
Kuwait,3939000000,3939,KWT
Kyrgyzstan,-867000000,-867,KGZ
Laos,-2471000000,-2471,LAO
Latvia,-560000000,-560,LVA
Lebanon,-10560000000,-10560,LBN
Lesotho,-144000000,-144,LSO
Liberia,-661000000,-661,LBR
Libya,-18660000000,-18660,LBY
Lithuania,-676000000,-676,LTU
Luxembourg,2711000000,2711,LUX
Macedonia,-194000000,-194,MKD
Madagascar,-223000000,-223,MDG
Malawi,-863000000,-863,MWI
Malaysia,3646000000,3646,MYS
Maldives,-389000000,-389,MDV
Mali,-848000000,-848,MLI
Malta,653000000,653,MLT
Marshall Islands,-14000000,-14,MHL
Mauritania,-1033000000,-1033,MRT
Mauritius,-509000000,-509,MUS
Mexico,-29030000000,-29030,MEX
Micronesia,3000000,3,FSM
Moldova,-189000000,-189,MDA
Mongolia,-1241000000,-1241,MNG
Montenegro,-437000000,-437,MNE
Morocco,-1276000000,-1276,MAR
Mozambique,-4035000000,-4035,MOZ
Namibia,-1268000000,-1268,NAM
Nepal,831000000,831,NPL
Netherlands,69820000000,69820,NLD
New Zealand,-5385000000,-5385,NZL
Nicaragua,-1077000000,-1077,NIC
Niger,-1350000000,-1350,NER
Nigeria,-2856000000,-2856,NGA
Norway,26230000000,26230,NOR
Oman,-12710000000,-12710,OMN
Pakistan,-2627000000,-2627,PAK
Palau,-16000000,-16,PLW
Panama,-3029000000,-3029,PAN
Papua New Guinea,1484000000,1484,PNG
Paraguay,172000000,172,PRY
Peru,-6801000000,-6801,PER
Philippines,5542000000,5542,PHL
Poland,-250000000,-250,POL
Portugal,46000000,46,PRT
Qatar,-2885000000,-2885,QAT
Romania,-3733000000,-3733,ROU
Russia,38560000000,38560,RUS
Rwanda,-1385000000,-1385,RWA
Saint Kitts and Nevis,-164000000,-164,KNA
Saint Lucia,-96000000,-96,LCA
Saint Vincent and the Grenadines,-176000000,-176,VCT
Samoa,-29000000,-29,WSM
Sao Tome and Principe,-44000000,-44,STP
Saudi Arabia,-42280000000,-42280,SAU
Senegal,-1244000000,-1244,SEN
Serbia,-1596000000,-1596,SRB
Seychelles,-265000000,-265,SYC
Sierra Leone,-696000000,-696,SLE
Singapore,57260000000,57260,SGP
Slovakia,-885000000,-885,SVK
Slovenia,3398000000,3398,SVN
Solomon Islands,-54000000,-54,SLB
Somalia,-644000000,-644,SOM
South Africa,-9382000000,-9382,ZAF
South Korea,1.016E+11,101600,KOR
South Sudan,-13000000,-13,SSD
Spain,24290000000,24290,ESP
Sri Lanka,-1231000000,-1231,LKA
Sudan,-5545000000,-5545,SDN
Suriname,-174000000,-174,SUR
Swaziland,-167000000,-167,SWZ
Sweden,26030000000,26030,SWE
Switzerland,61200000000,61200,CHE
Syria,-3148000000,-3148,SYR
Taiwan,77900000000,77900,TWN
Tajikistan,-331000000,-331,TJK
Tanzania,-4121000000,-4121,TZA
Thailand,37690000000,37690,THA
Timor-Leste,-248000000,-248,TLS
Togo,-361000000,-361,TGO
Tonga,-33000000,-33,TON
Trinidad and Tobago,-1975000000,-1975,TTO
Tunisia,-3397000000,-3397,TUN
Turkey,-32120000000,-32120,TUR
Turkmenistan,-6780000000,-6780,TKM
Tuvalu,-1000000,-1,TUV
Uganda,-2230000000,-2230,UGA
Ukraine,-1315000000,-1315,UKR
United Arab Emirates,4244000000,4244,ARE
United Kingdom,-1.573E+11,-157300,GBR
United States,-4.694E+11,-469400,USA
Uruguay,-1586000000,-1586,URY
Uzbekistan,64000000,64,UZB
Vanuatu,-129000000,-129,VUT
Venezuela,-11210000000,-11210,VEN
Vietnam,770000000,770,VNM
Yemen,-1920000000,-1920,YEM
Zambia,-932000000,-932,ZMB
Zimbabwe,-1069000000,-1069,ZWE
